,date,type,adress,price,surface,room
110,04.12.2019,Gewerbe,"

Adresse
Riedstrasse 8
6330 Cham

","

Preis

CHF
90 Jahr/m2


","
Fläche
700 m2
","
Zimmer
-
"
111,09.12.2019,Tiefgarage,"

Adresse
Sinserstrasse 65|67
6330 Cham

","

Preis

CHF
162 pro Monat


","
Fläche
-
","
Zimmer
-
"
112,04.02.2020,Moto Hallenplatz,"

Adresse
Sinserstr. 59-63
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
113,24.01.2020,Tiefgarage,"

Adresse
Dorfplatz 2, Einstellhalle
6330 Cham

","

Preis

CHF
160 pro Monat


","
Fläche
-
","
Zimmer
-
"
114,04.02.2020,Tiefgarage,"

Adresse
Sinserstr. 59-63
6330 Cham

","

Preis

CHF
150 pro Monat


","
Fläche
-
","
Zimmer
-
"
115,30.05.2019,Büro,"

Adresse
Sinserstrasse 65
6330 Cham

","

Preis

CHF
1'650 pro Monat


","
Fläche
65 m2
","
Zimmer
1
"
116,25.01.2020,Lager,"

Adresse
Zugerstr. 53
6330 Cham

","

Preis

Auf Anfrage


","
Fläche
190 m2
","
Zimmer
-
"
117,04.02.2020,Moto Hallenplatz,"

Adresse
Sonnegg-/Johannisstr.
6330 Cham

","

Preis

CHF
45 pro Monat


","
Fläche
-
","
Zimmer
-
"
118,04.02.2020,Moto Hallenplatz,"

Adresse
Herrenmattstr. 1-8
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
 "
119,25.03.2020,Büro,"

Adresse
Riedstrasse 11/13
6330 Cham

","

Preis

CHF
168 Jahr/m2


","
Fläche
233 m2
","
Zimmer
-
"
120,25.03.2020,Lager,"

Adresse
Riedstrasse 7/9
6330 Cham

","

Preis

CHF
112 Jahr/m2


","
Fläche
224 m2
","
Zimmer
-
"
121,04.12.2019,Ladenfläche,"

Adresse
Zugerstrasse 17
6330 Cham

","

Preis

CHF
380 Jahr/m2


","
Fläche
121 m2
","
Zimmer
-
"
122,18.02.2020,Moto Aussenplatz,"

Adresse
Schellenmattstr. / Pilatusstr.
6330 Cham

","

Preis

CHF
15 pro Monat


","
Fläche
-
","
Zimmer
-
"
