ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
59993,16/03/2020,Wohnung,"4,5",130,1800,9404,9404,Rorschacherberg,St. Gallen
59993,16/03/2020,Wohnung,"4,5",130,1800,9404,9404,Rorschacherberg,St. Gallen
59993,16/03/2020,Wohnung,"4,5",130,1800,9404,9404,Rorschacherberg,St. Gallen
59994,16/03/2020,Wohnung,"5,5",165,2000,9404,9404,Rorschacherberg,St. Gallen
59994,16/03/2020,Wohnung,"5,5",165,2000,9404,9404,Rorschacherberg,St. Gallen
59994,16/03/2020,Wohnung,"5,5",165,2000,9404,9404,Rorschacherberg,St. Gallen
59998,28/02/2020,Wohnung,"3,5",70,1700,1004,1004,Lausanne,Waadt
59999,24/01/2020,Wohnung,"3,5",82,1500,6962,6962,Viganello,Tessin
60003,13/01/2020,Wohnung,"3,5",105,2190,8623,8623,Wetzikon ZH,Zürich
60003,13/01/2020,Wohnung,"3,5",105,2190,8623,8623,Wetzikon ZH,Zürich
60015,08/02/2020,Wohnung,"3,5",84,2190,4410,4410,Liestal,Basel-Landschaft
60015,08/02/2020,Wohnung,"3,5",84,2190,4410,4410,Liestal,Basel-Landschaft
60016,17/12/2019,Wohnung,"2,5",49,1490,4058,4058,Basel,Basel-Stadt
60016,17/12/2019,Wohnung,"2,5",49,1490,4058,4058,Basel,Basel-Stadt
60021,22/03/2020,Wohnung,"3,5",87,1560,1040,1040,Echallens,Waadt
60021,22/03/2020,Wohnung,"3,5",87,1560,1040,1040,Echallens,Waadt
60021,22/03/2020,Wohnung,"3,5",87,1560,1040,1040,Echallens,Waadt
60022,09/10/2019,Wohnung,"5,5",180,6740,1009,1009,Pully,Waadt
60024,04/02/2020,Wohnung,"4,5",110,2010,4614,4614,Hägendorf,Solothurn
60024,04/02/2020,Wohnung,"4,5",110,2010,4614,4614,Hägendorf,Solothurn
60029,10/03/2020,Wohnung,"3,5",95,1390,1078,1078,Essertes,Waadt
60030,13/02/2020,Maisonette / Duplex,"4,5",146,1980,9470,9470,Buchs SG,St. Gallen
60030,13/02/2020,Maisonette / Duplex,"4,5",146,1980,9470,9470,Buchs SG,St. Gallen
60030,13/02/2020,Maisonette / Duplex,"4,5",146,1980,9470,9470,Buchs SG,St. Gallen
60035,24/01/2020,Wohnung,"3,5",80,1450,1752,1752,Villars-sur-Glâne,Freiburg
60036,24/01/2020,Attikawohnung,"2,5",62,1460,3930,3930,Visp,Wallis
60036,24/01/2020,Attikawohnung,"2,5",62,1460,3930,3930,Visp,Wallis
60036,24/01/2020,Attikawohnung,"2,5",62,1460,3930,3930,Visp,Wallis
60037,24/01/2020,Wohnung,"3,5",98,2805,8708,8708,Männedorf,Zürich
60040,20/02/2020,Wohnung,"2,5",59,1180,4227,4227,Büsserach,Solothurn
60042,24/02/2020,Wohnung,"4,5",95,1600,8718,8718,Schänis,St. Gallen
60043,04/02/2020,Wohnung,"3,5",102,1875,2017,2017,Boudry,Neuchâtel
60044,11/03/2020,Wohnung,"3,5",95,1850,2540,2540,Grenchen,Solothurn
60049,08/10/2019,Studio,"1,5",26,870,6614,6614,Brissago,Tessin
60051,08/10/2019,Wohnung,"2,5",79,2150,8180,8180,Bülach,Zürich
60051,08/10/2019,Wohnung,"2,5",79,2150,8180,8180,Bülach,Zürich
60051,08/10/2019,Wohnung,"2,5",79,2150,8180,8180,Bülach,Zürich
60053,28/10/2019,Einliegerwohnung,2,55,1370,4434,4434,Hölstein,Basel-Landschaft
60053,28/10/2019,Einliegerwohnung,2,55,1370,4434,4434,Hölstein,Basel-Landschaft
60056,23/01/2020,Wohnung,"4,5",85,1550,4528,4528,Zuchwil,Solothurn
60056,23/01/2020,Wohnung,"4,5",85,1550,4528,4528,Zuchwil,Solothurn
