,ID,date,Strasse,Hausnummer,PLZ,Ort,Kanton,type,Zimmer,Fläche,Preis
25043,47113,06.02.2020,Zürcherstrasse ,20,8952,Schlieren,Zürich,Büro,10,274,180
25044,47114,06.02.2020,Zürcherstrasse ,20,8952,Schlieren,Zürich,Büro,4,114,235
25045,47115,21.02.2020,Unterwartweg ,37,4132,Muttenz,Basel-Landschaft,Wohnung,3.5,81,1820
25046,47118,20.03.2020,Hauptstrasse ,42,8532,Weiningen TG,Thurgau,Wohnung,3.5,80,1390
25047,47119,11.02.2020,Baumgartenweg ,7,4127,Birsfelden,Basel-Landschaft,Wohnung,4,70,1730
25048,47120,15.01.2020,Bahnhofstrasse ,16,9435,Heerbrugg,St. Gallen,Wohnung,4.5,97,1344
25049,47122,02.03.2020,Thurgauerstrasse ,105,8152,Glattpark (Opfikon),Zürich,Büro,-,150,250
25050,47125,02.03.2020,Thurgauerstrasse ,105,8152,Glattpark (Opfikon),Zürich,Büro,-,240,250
25051,47127,05.02.2020,Dörnliacherstrasse ,3,6232,Geuensee,Luzern,Wohnung,4.5,86,1380
25052,47128,15.01.2020,Dörnliacherstrasse ,3,6232,Geuensee,Luzern,Wohnung,3.5,68,1290
25053,47129,15.01.2020,Bodenächerstrasse ,16,5417,Untersiggenthal,Aargau,Wohnung,3.5,80,1420
25054,47130,16.01.2020,Agra ,10,6917,Barbengo,Tessin,Einfamilienhaus,4.5,140,2650
25055,47135,28.01.2020,Rheinstrasse ,41,4402,Frenkendorf,Basel-Landschaft,Restaurant,-,70,1295
25056,47136,24.01.2020,Route des Monnaires ,41,1660,Château-d'Oex,Waadt,Wohnung,3.5,124,1868
25057,47141,02.03.2020,im Haufland ,1,8117,Fällanden,Zürich,Wohnung,3.5,93,1990
25058,47145,21.03.2020,Gebelstrasse ,4,3126,Kaufdorf,Bern,Wohnung,5.5,150,2190
25059,47146,13.03.2020,Walther-Bürsten-Strasse ,13,5036,Oberentfelden,Aargau,Attikawohnung,4.5,112,2285
25060,47147,20.03.2020,Hinterrietstr. ,23,8317,Tagelswangen,Zürich,Wohnung,3.5,79,2180
25061,47148,27.01.2020,Hauptstrasse ,66,4437,Waldenburg,Basel-Landschaft,Wohnung,3.5,90,1400
25062,47149,15.01.2020,Elsastrasse ,19,4600,Olten,Solothurn,Reihenfamilienhaus,5,180,2680
25063,47150,02.03.2020,Eisenbahnstrasse ,18,8730,Uznach,Schwyz,Wohnung,4.5,90,1450
25064,47152,15.01.2020,Pffäfikerstrasse ,26,8610,Uster,Zürich,Doppeleinfamilienhaus,5.5,120,2850
25065,47154,10.03.2020,Avenue de la Gare ,20,3963,Crans-Montana,Wallis,Möbliertes Wohnobjekt,2.5,55,980
25066,47158,15.01.2020,Chrüzweg ,25,5603,Staufen,Aargau,Wohnung,4.5,118,1970
25067,47159,15.01.2020,Fehrenstrasse ,16,4226,Breitenbach,Solothurn,Wohnung,3,79,1350
25068,47160,15.01.2020,Gublenstrasse ,6,8733,Eschenbach SG,St. Gallen,Gewerbe,-,113,122000
25069,47163,06.03.2020,Adlerwiesstrasse ,13,8737,Gommiswald,St. Gallen,Wohnung,3.5,84,1350
25070,47164,04.03.2020,Gutstrasse ,11,8400,Winterthur,Zürich,Wohnung,1,39,1270
25071,47182,15.03.2020,Lättenstrasse ,49,5436,Würenlos,Aargau,Wohnung,2.5,66,1590
25072,47187,15.01.2020,Endweg ,5,3818,Grindelwald,Bern,Möbliertes Wohnobjekt,1,40,1020
25073,47190,13.02.2020,Breitackerstrasse ,15,5505,Brunegg,Aargau,Wohnung,4.5,122,2575
25074,47191,13.02.2020,Rotbuechstrasse ,14,8165,Schleinikon,Zürich,Wohnung,4.5,140,2214
25075,47192,15.01.2020,Zälglistrasse ,18,3202,Frauenkappelen,Bern,Wohnung,4.5,94,1660
25076,47194,22.03.2020,Rue du They ,20,1820,Veytaux,Waadt,Wohnung,3.5,74,2005
25077,47199,13.02.2020,Fahrwangerstrasse ,6,5614,Sarmenstorf,Aargau,Wohnung,3.5,70,1640
25078,47204,15.01.2020, Chemin du Milieu ,3,1957,Ardon,Wallis,Lager,3,240,1500
25079,47206,10.03.2020,Neugasse ,16,9400,Rorschach,St. Gallen,Wohnung,4,85,1230
25080,47211,15.01.2020,Bächimattstr. ,7,3075,Rüfenacht BE,Bern,Wohnung,3.5,70,1320
25081,47213,20.03.2020,Parkweg ,3,4450,Sissach,Basel-Landschaft,Wohnung,4,86,1665
25082,47215,20.03.2020,Achilles Bischoff-Strasse ,5,4053,Basel,Basel-Stadt,Wohnung,3,69,1555
25083,47216,15.01.2020,Mühledorfstrasse ,4,3018,Bern,Bern,Wohnung,3,60,1790
25084,47217,15.01.2020,Mühlemattweg ,21,5034,Suhr,Aargau,Wohnung,3,75,1340
25085,47221,12.03.2020,Rue de Morat ,59,1700,Fribourg,Freiburg,Wohnung,2.5,54,1390
25086,47222,12.03.2020,Derrey-les-Ouches ,60,1483,Montet (Broye),Freiburg,Wohnung,3.5,80,1700
25087,47223,12.03.2020,Grand-Rhain ,64,1564,Domdidier,Freiburg,Wohnung,3.5,70,1635
25088,47224,12.03.2020,Avenue du Temple ,12,1462,Yvonand,Waadt,Wohnung,3.5,60,1615
25089,47225,24.02.2020,Landstrasse ,181,7250,Klosters,Graubünden,Wohnung,2.5,51,1230
25090,47228,22.03.2020,Rue Ernest Chuard ,6,1562,Corcelles-près-Payerne,Freiburg,Wohnung,3.5,78,1570
25091,47231,22.03.2020,RUE DE L'HOTEL DE VILLE ,2,1627,Vaulruz,Freiburg,Wohnung,2.5,55,1140
25092,47238,05.03.2020,Birmensdorferstrasse ,360,8055,Zürich,Zürich,Büro,-,70,1570
25093,47239,31.01.2020,Hauptstrasse ,33,9434,Au SG,St. Gallen,Wohnung,4.5,106,1620
25094,47242,04.03.2020,Bahnhofstrasse ,58,3127,Mühlethurnen,Bern,Wohnung,2.5,63,1498
25095,47243,04.03.2020,Bostudenstrasse ,19,3604,Thun,Bern,Wohnung,3.5,72,1530
25096,47244,04.03.2020,Bündackerstrasse ,30,3047,Bremgarten b. Bern,Bern,Wohnung,4,116,2250
25097,47245,04.03.2020,Bielstrasse ,120,2540,Grenchen,Solothurn,Wohnung,3.5,65,1270
25098,47246,25.01.2020,Chemin de Chauderon ,19,1091,Grandvaux,Waadt,Einfamilienhaus,6.5,300,5400
25099,47247,14.01.2020,Wilmatt ,2,6370,Oberdorf NW,Nidwalden,Wohnung,5.5,138,2500
25100,47250,19.03.2020,Im Reinacherhof ,143,4153,Reinach BL,Basel-Landschaft,Maisonette / Duplex,4.5,135,2780
25101,47251,04.03.2020,Landschreibestrasse ,9,4710,Balsthal,Solothurn,Wohnung,4,70,1130
25102,47255,28.02.2020,Im Gassacher ,8,8122,Binz,Zürich,Wohnung,4,111,2250
25103,47256,28.02.2020,Maienstrasse ,4,8406,Winterthur,Zürich,Wohnung,3.5,73,1590
25104,47257,08.02.2020,cappella nuova ,88,6654,Cavigliano,Tessin,Wohnung,4,90,1800
25105,47258,31.01.2020,Hauptstrasse ,24,9424,Rheineck,St. Gallen,Wohnung,4,116,1340
25106,47261,14.01.2020,Hauptstrasse ,73,4147,Aesch BL,Basel-Landschaft,Maisonette / Duplex,3.5,100,2155
25107,47262,30.01.2020,Rue du Conseil ,19,1800,Vevey,Waadt,Wohnung,2,60,1540
25108,47263,30.01.2020,Rue de Conseil ,21,1800,Vevey,Waadt,Wohnung,2,54,1470
25109,47264,31.01.2020,Greifenstrasse ,17,9000,St. Gallen,St. Gallen,Maisonette / Duplex,4.5,160,2880
25110,47265,16.01.2020,Dorfstrasse ,34,4623,Neuendorf,Solothurn,Wohnung,3.5,77,1530
25111,47266,18.03.2020,Weiherstrasse ,20,4800,Zofingen,Aargau,Loft,-,127,1720
25112,47267,25.01.2020,Therwilerstr. ,37,4103,Bottmingen,Basel-Landschaft,Wohnung,3.5,80,1630
25113,47268,18.03.2020,Rte de Bertigny ,15,1700,Fribourg,Freiburg,Wohnung,4,96,1780
25114,47269,03.03.2020,Guiguer-de-Prangins ,6,1004,Lausanne,Waadt,Wohnung,3,57,1720
25115,47270,25.01.2020,General Herzog-Strasse ,39,5600,Lenzburg,Aargau,Wohnung,3,69,1450
25116,47271,25.01.2020,Av. Victor Ruffy ,50,1012,Lausanne,Waadt,Wohnung,2.5,54,1660
25117,47274,19.02.2020,Grundweg ,3,4852,Rothrist,Aargau,Wohnung,3.5,90,1800
25118,47275,12.02.2020,Bächimattstrasse ,23,3075,Rüfenacht BE,Bern,Wohnung,4.5,80,1590
25119,47277,05.02.2020,Rue Charles-Naine ,40,2300,La Chaux-de-Fonds,Neuenburg,Wohnung,3,64,1130
25120,47278,20.03.2020,Steinenbachstrasse ,6,5015,Erlinsbach SO,Solothurn,Wohnung,4.5,80,1455
25121,47281,14.01.2020,Ueberlandstrasse ,234,8600,Dübendorf,Zürich,Wohnung,3.5,80,1650
25122,47282,17.03.2020,Allmendstrasse ,10,6362,Stansstad,Nidwalden,Wohnung,3.5,93,1875
25123,47284,21.01.2020,Route des Monnaires ,41,1660,Château-d'Oex,Waadt,Wohnung,3,76,1308
25124,47285,15.01.2020,Chemin Jules-Edouard-GOTTRET ,19,1255,Veyrier,Genf,Einfamilienhaus,11,500,10000
25125,47286,14.01.2020,Cornouillerstrasse ,2,2502,Biel/Bienne,Bern,Wohnung,4.5,97,1880
25126,47287,14.01.2020,Mürgelistrasse ,20,4528,Zuchwil,Solothurn,Wohnung,5.5,112,1740
25127,47288,14.01.2020,Rue du Chasselas ,11,2000,Neuchâtel,Neuenburg,Wohnung,1.5,38,1000
25128,47289,21.01.2020,Passage Blaise-Cendrars ,7,2017,Boudry,Neuenburg,Wohnung,4.5,102,1940
25129,47290,04.02.2020,Sonnenhof ,46,8808,Pfäffikon SZ,Schwyz,Einfamilienhaus,5,225,7950
25130,47291,20.02.2020,Champs-Montants ,16,1483,Montet (Broye),Freiburg,Attikawohnung,3.5,86,1980
25131,47293,22.03.2020,Chemin de la Forêt ,10,1522,Lucens,Waadt,Wohnung,4.5,102,2110
25132,47294,22.03.2020,Rue Ernest-Chuard ,14,1562,Corcelles-près-Payerne,Freiburg,Wohnung,2.5,60,1200
25133,47297,06.02.2020,Avenue de la Gare ,43,1880,Bex,Waadt,Wohnung,2.5,60,1150
25134,47298,31.01.2020,Alexanderstrasse ,1,7000,Chur,Graubünden,Büro,-,185,3630
25135,47300,12.03.2020,Rue de la Grande Salle ,11,1522,Lucens,Waadt,Wohnung,2.5,55,1350
25136,47301,12.03.2020,Rue de la Grande Salle ,11,1522,Lucens,Waadt,Wohnung,2.5,55,1450
25137,47302,12.03.2020,Rue de la Grande Salle ,11,1522,Lucens,Waadt,Wohnung,2.5,55,1450
25138,47303,12.03.2020,Rue de la Grande Salle ,11,1522,Lucens,Waadt,Wohnung,2.5,55,1450
25139,47304,14.02.2020, Bernstrasse ,33,3400,Burgdorf,Bern,Wohnung,3.5,80,1490
25140,47308,22.01.2020,Hinterhostattstrasse ,4,6376,Emmetten,Nidwalden,Dachwohnung,4.5,100,1650
25141,47309,24.01.2020,Feldstrasse ,5,5412,Gebenstorf,Aargau,Wohnung,2.5,97,2130
25142,47312,15.01.2020,Kienastenwiesweg ,31,8053,Zürich,Zürich,Wohnung,3,82,1990
25143,47313,03.03.2020,Gutstrasse ,11,8400,Winterthur,Zürich,Wohnung,1,39,1270
25144,47314,16.03.2020,Feldlistrasse ,41,8645,Jona,St. Gallen,Wohnung,3,68,1580
25145,47315,03.02.2020,Bahnhofstrasse ,58,8957,Spreitenbach,Aargau,Wohnung,3.5,71,1570
25146,47316,31.01.2020,Brunnmattstrasse ,8,6048,Horw,Luzern,Wohnung,3,70,1480
25147,47318,17.03.2020,Leuengasse ,60,8142,Uitikon Waldegg,Zürich,Wohnung,4.5,134,4950
25148,47319,17.03.2020,Leuengasse ,60,8142,Uitikon Waldegg,Zürich,Wohnung,5.5,150,4180
25149,47320,17.03.2020,Leuengasse ,60,8142,Uitikon Waldegg,Zürich,Wohnung,2.5,74,2460
25150,47321,17.03.2020,Leuengasse ,50,8142,Uitikon Waldegg,Zürich,Wohnung,4.5,115,3630
25151,47322,17.03.2020,Leuengasse ,60,8142,Uitikon Waldegg,Zürich,Wohnung,4.5,136,5490
25152,47323,17.03.2020,Leuengasse ,52,8142,Uitikon Waldegg,Zürich,Wohnung,3.5,95,2870
25153,47326,27.01.2020,Effingerstrasse ,55,3008,Bern,Bern,Büro,-,680,240
25154,47327,02.03.2020,Rue de la Comba ,15,1632,Riaz,Freiburg,Wohnung,2.5,75,1420
25155,47328,02.03.2020,Staufergutstrasse ,5,4665,Oftringen,Aargau,Attikawohnung,4.5,121,2370
25156,47330,14.01.2020,Krienserstrasse ,1,6048,Horw,Luzern,Wohnung,2,44,1590
25157,47331,22.01.2020,Via Pollini ,16,6850,Mendrisio,Tessin,Wohnung,5.5,150,2000
