,PLZ,Kanton
1566,6064,Obwalden
1567,6066,Obwalden
1568,6067,Obwalden
1569,6068,Obwalden
1570,6078,Obwalden
1572,6072,Obwalden
1573,6073,Obwalden
1575,6056,Obwalden
1576,6060,Obwalden
1577,6062,Obwalden
1578,6063,Obwalden
1579,6375,Nidwalden
1580,6376,Nidwalden
1581,6374,Nidwalden
1582,6383,Nidwalden
1585,6363,Nidwalden
1586,6373,Nidwalden
1588,6362,Nidwalden
1589,6372,Nidwalden
1593,6370,Nidwalden
1595,6382,Nidwalden
1602,6365,Nidwalden
1604,6386,Nidwalden
1605,6387,Nidwalden
1608,8752,Glarus
1609,8753,Glarus
1610,8754,Glarus
1611,8757,Glarus
1612,8758,Glarus
1613,8865,Glarus
1614,8866,Glarus
1615,8867,Glarus
1616,8868,Glarus
1617,8872,Glarus
1618,8874,Glarus
1620,8755,Glarus
1621,8756,Glarus
1622,8762,Glarus
1623,8765,Glarus
1624,8766,Glarus
1625,8767,Glarus
1626,8772,Glarus
1627,8773,Glarus
1628,8774,Glarus
1629,8775,Glarus
1630,8777,Glarus
1631,8782,Glarus
1632,8783,Glarus
1633,8784,Glarus
1637,6300,Zug
1638,6312,Zug
1639,6314,Zug
1640,6319,Zug
1642,6345,Zug
1643,6330,Zug
1644,6331,Zug
1645,6332,Zug
1646,5642,Zug
1649,6333,Zug
1650,6313,Zug
1661,6343,Zug
1669,6317,Zug
1672,1473,Freiburg
1673,1529,Freiburg
1674,1534,Freiburg
1675,1482,Freiburg
1676,1483,Freiburg
1677,1532,Freiburg
1678,1544,Freiburg
1679,1470,Freiburg
1681,1533,Freiburg
1682,1562,Freiburg
1683,1774,Freiburg
1684,1775,Freiburg
1685,1776,Freiburg
1686,1485,Freiburg
1687,1410,Freiburg
1688,1566,Freiburg
1689,1541,Freiburg
1690,1525,Freiburg
1691,1527,Freiburg
1692,1528,Freiburg
1693,1565,Freiburg
1695,1484,Freiburg
1697,1567,Freiburg
1698,1568,Freiburg
1699,1563,Freiburg
1700,1564,Freiburg
1701,1580,Freiburg
1702,1772,Freiburg
1703,1773,Freiburg
1707,1475,Freiburg
1708,1486,Freiburg
1709,1489,Freiburg
1711,1542,Freiburg
1712,1468,Freiburg
1713,1474,Freiburg
1714,1673,Freiburg
1715,1681,Freiburg
1716,1608,Freiburg
1717,1689,Freiburg
1718,1553,Freiburg
1719,1085,Freiburg
1721,1686,Freiburg
1722,1692,Freiburg
1723,1680,Freiburg
1724,1684,Freiburg
1725,1674,Freiburg
1728,1675,Freiburg
1729,1676,Freiburg
1730,1677,Freiburg
1731,1678,Freiburg
1732,1679,Freiburg
1734,1670,Freiburg
1737,1690,Freiburg
1738,1685,Freiburg
1740,1687,Freiburg
1741,1688,Freiburg
1742,1697,Freiburg
1744,1694,Freiburg
